Settore storico pe;Insegna;Ubicazione;Tipo via;Via;Civico;Codice via;ZD;Forma commercio;Forma commercio prev;Forma vendita;Superficie somministrazione
"Genere Merceol.Autorizz.Sanit.;BAR CAFF�;Tavola fredda";c/o cons.region.lombardia;"VIA FILZI FABIO N. 22 c/o consiglio reg. lombardia; isolato:299; accesso: accesso interno; (z.d. 2)";VIA;FILZI FABIO;22;1190;2;solo somministrazione;somministrazione;al banco;48
"Genere Merceol.Autorizz.Sanit.;BAR CAFF�;Tavola fredda;Cibi cotti preconfezionati";;"VIA PADOVA N. 91 interno bocciofila; isolato:298; (z.d. 2)";VIA;PADOVA;91;2275;2;;;;45
"Genere Merceol.Autorizz.Sanit.;BAR CAFF�;Tavola fredda;Cibi cotti preconfezionati";casa riposo famagosta;"VIA DI RUDINI' ANTONIO N. 3 c/o rsa famagosta; isolato:098; accesso: accesso interno; (z.d. 6)";VIA;DI RUDINI' ANTONIO;3;5429;6;solo somministrazione;somministrazione;al banco;299
"Genere Merceol.Autorizz.Sanit.;BAR CAFF�;Tavola fredda;Cibi cotti preconfezionati;Bar gastronomici e simili";;"VIA GIOIA MELCHIORRE N. 22 (c/o circolo dipendenti inps); isolato:297; accesso: accesso interno; (z.d. 9)";VIA;GIOIA MELCHIORRE;22;1108;9;solo somministrazione;somministrazione;al banco;107
"Genere Merceol.Autorizz.Sanit.;BAR CAFF�;Tavola fredda;Discoteche,sale ballo notturni";c-side;"VIA CASTELBARCO GIAN CARLO num.013/a /a; isolato:118; accesso: accesso esterno; (z.d. 5)";VIA;CASTELBARCO GIAN CARLO;;4201;5;solo somministrazione;somministrazione;misto;144
"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFF�";bar metro;"VIA SANTA RADEGONDA num.000 gall. s. radegonda - mm duomo;ingresso via 9112 num.000; isolato:997; accesso: accesso interno; (z.d. 1)";VIA;SANTA RADEGONDA;;208;1;solo somministrazione;somministrazione;misto;48
"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFF� E SIMILI;Tavola fredda;BAR CAFF�";;"VIA LOMBROSO CESARE N. 54 interno ortomercato- un.imm.e; (z.d. 4)";VIA;LOMBROSO CESARE;54;3334;4;;;;61
"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFF�;Tavola fredda";;"codvia 9218 mm2 romolo; isolato:997; accesso: accesso interno; (z.d. 6)";VIA;MASSARA DE CAPITANI;3;1261;9;;somministrazione;al banco;27
"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFF�;Tavola fredda";bar caffe  (erg petroli);"VIA TRILUSSA N. 3 (c/o impianto carburanti erg); isolato:060; accesso: accesso esterno; (z.d. 8)";VIA;TRILUSSA;3;7367;8;solo somministrazione;somministrazione;al banco;76
"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;BAR CAFF�;Tavola fredda";int.teatro ciak;"VIA SANGALLO N. 33 interno teatro ciak; isolato:160; accesso: accesso interno; (z.d. 3)";VIA;SANGALLO;33;3208;3;solo somministrazione;somministrazione;al banco;40
"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Cibi cotti preconfezionati;BAR CAFF�;Tavola fredda";;"codvia 9508 ff domodos; accesso: accesso interno; (z.d. 8)";VIA;BARONI COSTANTINO;192;5422;5;;somministrazione;misto;53
"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Prodotti di gastronomia;BAR CAFF�";stazione di serv. esso;"VLE RUBICONE N. 31 ; accesso: accesso esterno; (z.d. 9)";VLE;RUBICONE;31;1568;9;solo somministrazione;somministrazione;al banco;25
"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Tavola fredda;BAR CAFF�;BAR CAFF� E SIMILI;Cibi cotti preconfezionati";bar caffe;"codvia 9112 mm1 duomo; isolato:997; accesso: accesso interno; (z.d. 1)";PZA;VENTIQUATTRO MAGGIO;1;5200;5;solo somministrazione;somministrazione;misto;126
"Genere Merceol.Autorizz.Sanit.;Bar gastronomici e simili;Tavola fredda;BAR CAFF�;BAR CAFF� E SIMILI;Cibi cotti preconfezionati";c/o iper montebello spa.;"VIA PALAZZOLO DON LUIGI N. 20 con ingr.v.grosotto-ed.1superm; accesso: accesso esterno; (z.d. 8)";VIA;PALAZZOLO DON LUIGI;20;7522;8;solo somministrazione;somministrazione;al banco;95
"Genere Merceol.Autorizz.Sanit.;Bar pasticc.gelat.crem.creper.;BAR CAFF� E SIMILI;BAR CAFF�";c/o multisala ducale;"PZA NAPOLI N. 27 c/o cinema multisala ducale; accesso: accesso interno; (z.d. 6)";PZA;NAPOLI;27;5131;6;solo somministrazione;somministrazione;al banco;38
"Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;BAR CAFF�;BAR CAFF� E SIMILI";;"codvia 9120 mm1 lotto; isolato:998; accesso: accesso interno; (z.d. 8)";VIA;AIRAGHI GAETANO;61;6330;7;solo somministrazione;somministrazione;al banco;40
"Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;BAR CAFF�;Tavola fredda";bar int.sala giochi;"VLE CERTOSA N. 177 interno sala giochi; isolato:222; accesso: accesso esterno; (z.d. 8)";VLE;CERTOSA;177;7174;8;solo somministrazione;somministrazione;al banco;130
"Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;BAR CAFF�;Tavola fredda;Sale da ballo, locali notturni";bar in sala da ballo;"VIA PARAVIA PIER ALESSANDRO N. 59 ; isolato:240; accesso: accesso esterno; (z.d. 7)";VIA;PARAVIA PIER ALESSANDRO;59;6571;7;solo somministrazione;somministrazione;al banco;447
"Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;Sale da ballo, locali notturni;BAR CAFF�;Tavola fredda";mia divina;"VIA CROCEFISSO N. 27 ;via molino delle armi 012; isolato:476; accesso: accesso esterno; (z.d. 1)";VIA;CROCEFISSO;27;587;1;solo somministrazione;somministrazione;al tavolo;302
"Genere Merceol.Autorizz.Sanit.;Cibi cotti preconfezionati;Tavola fredda;BAR CAFF�";bar;"codvia 9124 mm1 q.t.8; isolato:999; accesso: accesso interno; (z.d. 8)";VIA;LAMBRUSCHINI RAFFAELE;15;7271;9;solo somministrazione;somministrazione;al banco;45
"Genere Merceol.Autorizz.Sanit.;Elettr.Automatici Meccaniche;BAR CAFF�";;"VIA PLINIO CAIO SECONDO N. 63 c/o trattenimenti danzanti; isolato:108; accesso: accesso interno; (z.d. 3)";VIA;PLINIO CAIO SECONDO;63;2144;3;solo somministrazione;somministrazione;al banco;365
"Genere Merceol.Autorizz.Sanit.;Elettr.Automatici Meccaniche;BAR CAFF�;Tavola fredda";;"VIA CORELLI ARCANGELO N. 61 c/o f.s direz.compartimentale; isolato:003; (z.d. 3)";VIA;CORELLI ARCANGELO;61;3243;3;;;;65
"Genere Merceol.Autorizz.Sanit.;Genere Merceol.Autorizz.Sanit.";;VIA GALLURA N. 8 (z.d. 5);VIA;GALLURA;8;4256;5;;;;30
"Genere Merceol.Autorizz.Sanit.;Giochi Legge 388/2000";bar int.circolo biliardo;"VIA CICOGNA MOZZONI CARLO N. 5 ; isolato:135; accesso: accesso interno; (z.d. 9)";VIA;CICOGNA MOZZONI CARLO;5;1676;9;solo somministrazione;somministrazione;al banco;31
"Genere Merceol.Autorizz.Sanit.;Giochi Legge 388/2000;BAR CAFF�";bar tabacchi;"codvia 9205 mm2 lambra; isolato:998; accesso: accesso interno; (z.d. 3)";VIA;RICCIARELLI DANIELE;11;6553;7;solo somministrazione;somministrazione;al banco;83
"Genere Merceol.Autorizz.Sanit.;Giochi Legge 388/2000;Tavola fredda";bar caffe;"VIA TERAMO N. 31 ; isolato:071; accesso: accesso esterno; (z.d. 6)";VIA;TERAMO;31;5365;6;solo somministrazione;somministrazione;al banco;48
"Genere Merceol.Autorizz.Sanit.;Licenza giochi leciti/elettr..;BAR CAFF�";;"VLE RICHARD GIULIO N. 20 ; isolato:016; (z.d. 6)";VLE;RICHARD GIULIO;20;5374;6;;;;150
"Genere Merceol.Autorizz.Sanit.;Mensa";;"VIA TUCIDIDE N. 56 mensa interaziendale; isolato:011; accesso: accesso interno; (z.d. 3)";VIA;TUCIDIDE;56;3251;3;solo somministrazione;somministrazione;misto;274
"Genere Merceol.Autorizz.Sanit.;Mensa";c/0 hotel michelangelo;"VIA SCARLATTI DOMENICO N. 33 c/o hotel michelangelo; isolato:039; accesso: accesso interno; (z.d. 2)";VIA;SCARLATTI DOMENICO;33;2136;2;solo somministrazione;somministrazione;self service;101
"Genere Merceol.Autorizz.Sanit.;Mensa";casa riposo music.g.verdi;"PZA BUONARROTI MICHELANGELO N. 29 c/o casa di riposo per musicis; isolato:192; accesso: accesso interno; (z.d. 7)";PZA;BUONARROTI MICHELANGELO;29;6252;7;solo somministrazione;somministrazione;misto;160
"Genere Merceol.Autorizz.Sanit.;Mensa";c/o casa di riposo;"VIA PITTERI RICCARDO N. 81 c/o residenza santa giulia; accesso: accesso interno; (z.d. 3)";VIA;PITTERI RICCARDO;81;2674;3;solo somministrazione;somministrazione;self service;150
"Genere Merceol.Autorizz.Sanit.;Mensa";c/o shwarz farma spa.;"VIA GADAMES num.057 c/o schwarz pharma spa - ang.; accesso: accesso interno; (z.d. 8)";VIA;GADAMES;;7423;8;solo somministrazione;somministrazione;self service;80
"Genere Merceol.Autorizz.Sanit.;Mensa";c/o txt e -solutions spa.;"VIA FRIGIA N. 27 c/o txt e-solutions spa; isolato:035; accesso: accesso interno; (z.d. 2)";VIA;FRIGIA;27;2439;2;solo somministrazione;somministrazione;self service;170
"Genere Merceol.Autorizz.Sanit.;Mensa";mensa int.hotel visconti;"VLE ISONZO N. 14 c/o hotel visconti; isolato:197; accesso: accesso esterno; (z.d. 5)";VLE;ISONZO;14;4211;5;solo somministrazione;somministrazione;self service;70
"Genere Merceol.Autorizz.Sanit.;Mensa";mensa int.provincia;"VIA VIVAIO N. 1 c/o provincia di milano; isolato:098; accesso: accesso interno; (z.d. 1)";VIA;VIVAIO;1;3041;1;solo somministrazione;somministrazione;self service;190
"Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia";bar cral m.c.t.c.;"VIA CILEA FRANCESCO N. 119 (int. motorizzazione civile); isolato:009; accesso: accesso interno; (z.d. 8)";VIA;CILEA FRANCESCO;119;7526;8;solo somministrazione;somministrazione;al banco;58
"Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia;Bar gastronomici e simili;BAR CAFF�";;"codvia 9113 mm1 cordus; isolato:996; accesso: accesso interno; (z.d. 1)";PZA;OSPEDALE MAGGIORE;3;1523;9;solo somministrazione;somministrazione;misto;40
"Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia;Bar gastronomici e simili;BAR CAFF�";autogrill;"codvia 8504 autostrada; accesso: accesso esterno; (z.d. 5)";VIA;DELLA CASA GIOVANNI;15;7433;8;solo somministrazione;somministrazione;al banco;120
"Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia;Bar gastronomici e simili;BAR CAFF�;Tavola fredda";fnac cafe;"VIA DELLA PALLA N. 2 ang.v.torino-int.centro commer;via torino 000; accesso: accesso interno; (z.d. 1)";VIA;DELLA PALLA;2;586;1;solo somministrazione;somministrazione;misto;60
"Genere Merceol.Autorizz.Sanit.;Prodotti di gastronomia;Tavola fredda;BAR CAFF�";;"VIA CELORIA GIOVANNI N. 10 c/o universit? degli studi; isolato:121; (z.d. 3)";VIA;CELORIA GIOVANNI;10;2209;3;;;;105
"Genere Merceol.Autorizz.Sanit.;Ristorante";;"VIA GAREGNANO N. 38 circolo affiliato u.i.s.p.; (z.d. 8)";VIA;GAREGNANO;38;7413;8;;;;140
"Genere Merceol.Autorizz.Sanit.;Ristorante";;"VIA SAN PAOLO N. 10 c/o societ? del giardino;via san paolo 010; isolato:361; accesso: accesso interno; (z.d. 1)";VIA;SAN PAOLO;10;212;1;solo somministrazione;somministrazione;al banco;175
"Genere Merceol.Autorizz.Sanit.;Ristorante";;"VIA VALVASSORI PERONI CARLO N. 8 interno scuola; (z.d. 3)";VIA;VALVASSORI PERONI CARLO;8;2580;3;;;;
"Genere Merceol.Autorizz.Sanit.;Ristorante;BAR CAFF�";int.centro sportivo;"VIA CASCINA BELLARIA N. 19 interno centro sportivo; isolato:112; accesso: accesso esterno; (z.d. 7)";VIA;CASCINA BELLARIA;19;6744;7;solo somministrazione;somministrazione;misto;230
"Genere Merceol.Autorizz.Sanit.;Ristorante;BAR CAFF�;Ristorante, trattoria, osteria";int.centro sport. tennis;"VIA FABIO MASSIMO num.015/a /a int.centro sportivo tennis; isolato:146; accesso: accesso interno; (z.d. 4)";VIA;FANTOLI GAUDENZIO;9;3355;4;solo somministrazione;somministrazione;al banco;80
"Genere Merceol.Autorizz.Sanit.;Ristorante;Pizzeria;BAR CAFF�;Tav.calde,self service,fast f.;Tavola fredda;Bar gastronomici e simili";spizzico;"PLE CADORNA LUIGI num.000 (int. galleria stazione nord);ingresso via 9501 num.000; isolato:164; accesso: accesso interno; (z.d. 1)";PLE;CADORNA LUIGI;;601;1;solo somministrazione;somministrazione;al banco;116
"Genere Merceol.Autorizz.Sanit.;Ristorante;Ristorante, trattoria, osteria";;"VIA DEI PICCOLOMINI N. 2 interno ippodromo trotto; isolato:178; accesso: area ap.rec.; (z.d. 7)";VIA;DEI PICCOLOMINI;2;6513;7;solo somministrazione;somministrazione;al tavolo;626
"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;BAR CAFF�;Discoteche,sale ballo notturni;Giochi Legge 388/2000;Tavola fredda";bar/centro sportiv.saini;"VIA CORELLI ARCANGELO N. 136 c/o centro sportivo saini; isolato:020; accesso: area ap.rec.; (z.d. 3)";VIA;CORELLI ARCANGELO;136;3243;3;solo somministrazione;somministrazione;al banco;131
"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;BAR CAFF�;Tavola fredda";interno palestra get.fit.;"VIA PIACENZA N. 4 ; isolato:195; accesso: accesso interno; (z.d. 5)";VIA;PIACENZA;4;4064;5;solo somministrazione;somministrazione;al banco;59
"Genere Merceol.Autorizz.Sanit.;Ristorante, trattoria, osteria;BAR CAFF�;Tavola fredda;Cibi cotti preconfezionati;BAR CAFF� E SIMILI";bar tabacchi;"PZA MONTE TITANO N. 1 int. staz.ffss milano-lambrate; isolato:092; accesso: accesso interno; (z.d. 3)";PZA;MONTE TITANO;1;2654;3;solo somministrazione;somministrazione;misto;84
"Genere Merceol.Autorizz.Sanit.;Sale da ballo, locali notturni;Licenza giochi leciti/elettr..;BAR CAFF�";il teatrino;"VIA REDI FRANCESCO N. 2 ; isolato:079; accesso: accesso esterno; (z.d. 3)";VIA;REDI FRANCESCO;2;2149;3;solo somministrazione;somministrazione;al tavolo;50
"Genere Merceol.Autorizz.Sanit.;Sale da ballo, locali notturni;Prodotti di gastronomia;Discoteche,sale ballo notturni;BAR CAFF�";ub;"VIA CAVRIANA N. 7 ;ingresso via 3154 num.000; isolato:028; accesso: area ap.rec.; (z.d. 4)";VIA;CAVRIANA;7;3317;4;solo somministrazione;somministrazione;misto;360
"Genere Merceol.Autorizz.Sanit.;Sale da ballo, locali notturni;Tavola fredda;BAR CAFF�";coba;"VIA SFORZA ASCANIO num.037/a /a; isolato:113; accesso: accesso esterno; (z.d. 5)";PZA;LEGA LOMBARDA;1;7084;1;solo somministrazione;somministrazione;al tavolo;117
"Genere Merceol.Autorizz.Sanit.;Stab.baln. e impianti sportivi;BAR CAFF�;Ristorante;Ristorante, trattoria, osteria";interno palestra;"VIA RAVIZZA CARLO N. 4 interno palestra; isolato:194; (z.d. 7)";VIA;RAVIZZA CARLO;4;6285;7;;;;136
"Genere Merceol.Autorizz.Sanit.;Tav.calde,self service,fast f.;BAR CAFF� E SIMILI;BAR CAFF�;Ristorante";bar interno coin;"PZA CINQUE GIORNATE num.001/a interno coin; accesso: accesso interno; (z.d. 1)";LGO;QUINTO ALPINI;12;6346;1;solo somministrazione;somministrazione;al banco;119
"Genere Merceol.Autorizz.Sanit.;Tav.calde,self service,fast f.;Mensa";c/0 istit.ciechi di milan;"VIA VIVAIO N. 7 c/o istituto dei ciechi di mil; isolato:098; accesso: accesso interno; (z.d. 1)";VIA;VIVAIO;7;3041;1;solo somministrazione;somministrazione;self service;115
"Genere Merceol.Autorizz.Sanit.;Tavola calda;BAR CAFF�";;"VLE GORIZIA num.009/b c/o a.n.m.i.; isolato:055; (z.d. 6)";VIA;MELLONI MACEDONIO;52;3085;4;;;;50
"Genere Merceol.Autorizz.Sanit.;Tavola calda;BAR CAFF�";bar/tav.calda int.palestr;"VIA PIRANESI GIOVANNI BATTISTA N. 9 (interno palestra); isolato:265; accesso: accesso interno; (z.d. 4)";VIA;PIRANESI GIOVANNI BATTISTA;9;3263;4;solo somministrazione;somministrazione;misto;65
"Genere Merceol.Autorizz.Sanit.;Tavola fredda";;"VIA PIERLUIGI GIOVANNI DA PALESTRINA N. 7 c/o parrocchia ss redentore; isolato:016; accesso: accesso interno; (z.d. 3)";VIA;PIERLUIGI GIOVANNI DA PALESTRINA;7;2235;3;solo somministrazione;somministrazione;misto;170
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFF�";;"VIA LA FARINA GIUSEPPE N. 15 c/o circolo acli bicocca; isolato:050; accesso: accesso interno; (z.d. 9)";VIA;LA FARINA GIUSEPPE;15;1625;9;solo somministrazione;somministrazione;al banco;76
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFF�";;"VIA MEDA GIUSEPPE N. 50 c/o circolo parrocch. canossa; isolato:008; accesso: accesso interno; (z.d. 5)";VIA;MEDA GIUSEPPE;50;5242;5;solo somministrazione;somministrazione;al banco;51
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFF�";;"VLE FAMAGOSTA num.075/14 interno impianto sportivo; isolato:050; (z.d. 6)";VIA;BARONI COSTANTINO;;5422;5;;;;33
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFF�";casa cura priv.policlinic;"VIA DEZZA GIUSEPPE N. 48 c/o casa di cura privata del p; isolato:299; accesso: accesso interno; (z.d. 7)";VIA;DEZZA GIUSEPPE;48;6108;7;solo somministrazione;somministrazione;al banco;24
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFF�";circolo int. corriere del;"VIA SOLFERINO N. 28 c/o corriere della sera; isolato:176; accesso: accesso interno; (z.d. 1)";VIA;SOLFERINO;28;1028;1;solo somministrazione;somministrazione;al banco;350
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFF�";c/o arcigay binario uno;"VIA PLEZZO N. 16 circolo arcigay binario uno; isolato:092; accesso: accesso interno; (z.d. 3)";VIA;PLEZZO;16;2653;3;solo somministrazione;somministrazione;al banco;274
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFF�";int.corriere della sera;"VIA CEFALU' N. 40 c/o corriere della sera; isolato:199; accesso: accesso interno; (z.d. 8)";VIA;CEFALU';40;7370;8;solo somministrazione;somministrazione;al banco;46
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFF�";nuovo intervallo srl;"VLE LIGURIA N. 21 c/o i.t.i. giorni; isolato:070; accesso: accesso interno; (z.d. 6)";VLE;LIGURIA;21;5264;6;solo somministrazione;somministrazione;al banco;60
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFF�;Bar gastronomici e simili";alemagna;"VIA MUGGIANO num.018/11 /11 tang. ovest lato est agip; isolato:233; accesso: accesso esterno; (z.d. 7)";PZA;MISSORI GIUSEPPE;1;525;1;somministrazione/minuto;somministrazione;al banco;74
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFF�;Bar gastronomici e simili;Cibi cotti preconfezionati";;"PLE CADORNA LUIGI N. 14 interno ferrovie nord; (z.d. 1)";PLE;CADORNA LUIGI;14;601;1;;;;26
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;BAR CAFF�;Tav.calde,self service,fast f.;Ristorante;Pizzeria";trendy;"VIA QUARENGHI GIACOMO N. 23 int. centro commerciale bonola; isolato:300; accesso: accesso interno; (z.d. 8)";VIA;QUARENGHI GIACOMO;23;7478;8;solo somministrazione;somministrazione;self service;224
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Bar gastronomici e simili;BAR CAFF�";area di servizio;"VLE RUBICONE N. 30 ; accesso: accesso esterno; (z.d. 9)";VLE;RUBICONE;30;1568;9;solo somministrazione;somministrazione;al banco;132
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Bar gastronomici e simili;Prodotti di gastronomia;BAR CAFF�";si bar caffe;"codvia 9121 mm1 wagner; isolato:996; accesso: accesso interno; (z.d. 7)";PZA;SANT' AMBROGIO;5;643;1;solo somministrazione;somministrazione;al banco;133
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Bocce;Carte;BAR CAFF�";;"PZA TIRANA N. 17 c/o dopolavoro ff ss; isolato:157; accesso: area ap.rec.; (z.d. 6)";PZA;TIRANA;17;5378;6;solo somministrazione;somministrazione;misto;71
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Cibi cotti preconfezionati;BAR CAFF�";;"codvia 0357 ang. via della signora 10 circ; (z.d. 1)";VIA;BEROLDO;9;2267;2;;;;172
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Cibi cotti preconfezionati;BAR CAFF�";;"VIA ALDINI ANTONIO N. 33 c/o parrocchia santi mm. nazar; isolato:120; accesso: accesso interno; (z.d. 8)";VIA;ALDINI ANTONIO;33;7461;8;somministrazione/minuto;minuto;misto;49
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Cibi cotti preconfezionati;BAR CAFF�";bar c/o universita;"VIA GOLGI CAMILLO N. 19 c/o universit?; isolato:122; accesso: accesso interno; (z.d. 3)";VIA;GOLGI CAMILLO;19;2220;3;solo somministrazione;somministrazione;self service;98
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Discoteche,sale ballo notturni";;VIA MANZONI ALESSANDRO N. 40 (z.d. 1);VIA;MANZONI ALESSANDRO;40;230;1;;;;
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Giochi Legge 388/2000;Cibi cotti preconfezionati;BAR CAFF�";;"VIA PERGOLESI GIOVANNI BATTISTA N. 2 c/o dopolavoro ferroviario; isolato:016; accesso: accesso interno; (z.d. 3)";VIA;PERGOLESI GIOVANNI BATTISTA;2;2231;3;solo somministrazione;somministrazione;al banco;115
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Pizzeria;Tav.calde,self service,fast f.;Ristorante;Bar gastronomici e simili;BAR CAFF�";burger king  (fast-food);"PLE CADORNA LUIGI num.000 (interno stazione nord);ingresso via 9501 num.000; accesso: accesso interno; (z.d. 1)";PLE;CADORNA LUIGI;;601;1;solo somministrazione;somministrazione;al banco;131
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Prodotti di gastronomia;BAR CAFF�";;"CSO DI PORTA VITTORIA num.001 dipendenti del ministero di gr; (z.d. 1)";CSO;DI PORTA VITTORIA;;3016;1;;;;92
"Genere Merceol.Autorizz.Sanit.;Tavola fredda;Sale da ballo, locali notturni;Cibi cotti preconfezionati;Discoteche,sale ballo notturni;BAR CAFF�";alcatraz;"VIA VALTELLINA num.021/27 /27; accesso: accesso esterno; (z.d. 9)";VIA;VALTELLINA;;1188;9;solo somministrazione;somministrazione;al banco;1959
"GIOCHI DI SOCIETA';Discoteche,sale ballo notturni;Carte;Ristorante;Biliardo;Bocce;BAR CAFF�";il treno arte diletto;"VIA SAN GREGORIO N. 46 ; isolato:069; accesso: accesso esterno; (z.d. 2)";VIA;SAN GREGORIO;46;2123;2;solo somministrazione;somministrazione;misto;395
Giochi Legge 388/2000;;"PZA CORIOLANO num.002 ; (z.d. 8)";PZA;CORIOLANO;;7231;8;;;;
Giochi Legge 388/2000;;"VIA BORSI GIOSUE' N. 18 assoc. nuova vita jacob; isolato:078; (z.d. 6)";VIA;BORSI GIOSUE';18;5237;6;;;;
Giochi Legge 388/2000;;"VIA DON BOSCO N. 4 interno circolo amici miei; (z.d. 4)";VIA;DON BOSCO;4;4144;4;;;;
Giochi Legge 388/2000;;"VIA ROSMINI ANTONIO num.001/b ; (z.d. 1)";VIA;ROSMINI ANTONIO;;7132;1;;;;
Giochi Legge 388/2000;;"VIA VAL TROMPIA N. 49 interno circ/assoc. vesuvio; (z.d. 8)";VIA;VAL TROMPIA;49;7494;8;;;;
Giochi Legge 388/2000;;"VLE LIGURIA N. 26 giochi interno circolo; isolato:156; (z.d. 6)";VLE;LIGURIA;26;5264;6;;;;
Giochi Legge 388/2000;;VLE PASUBIO N. 14 (z.d. 9);VLE;PASUBIO;14;1112;9;;;;
Giochi Legge 388/2000;bar c/o circ.ricr.vignati;"VIA VIGNATI CESARE N. 18 ; isolato:190; accesso: accesso interno; (z.d. 9)";VIA;VIGNATI CESARE;18;1515;9;solo somministrazione;somministrazione;al banco;190
Giochi Legge 388/2000;circolo don massimo bign;"VIA MANARESI CESARE N. 13 ; isolato:077; (z.d. 7)";VIA;MANARESI CESARE;13;6837;7;;;;
"Giochi Legge 388/2000;BAR CAFF�";;"VIA TOMMEI UGO N. 3 c/o circolo arci ricotti; isolato:086; accesso: accesso interno; (z.d. 4)";VIA;TOMMEI UGO;3;3226;4;solo somministrazione;somministrazione;misto;147
"Giochi Legge 388/2000;BAR CAFF�";circolo arci;"VIA LORENTEGGIO N. 183 c/o circolo arci guidetti; isolato:132; accesso: accesso interno; (z.d. 6)";VIA;LORENTEGGIO;183;5132;6;solo somministrazione;somministrazione;al banco;52
"Giochi Legge 388/2000;BAR CAFF� E SIMILI;BAR CAFF�;Tav.calde,self service,fast f.;BAR CAFF� E SIMILI";;"VIA GOZZOLI BENOZZO N. 140 int.impianto di distrib. carb.; (z.d. 7)";VIA;GOZZOLI BENOZZO;140;6789;7;;;;83
"Giochi Legge 388/2000;BAR CAFF�;Genere Merceol.Autorizz.Sanit.;Tavola fredda";;"PLE FERRARA N. 2 int. mercato comunale coperto; isolato:125; accesso: accesso interno; (z.d. 4)";PLE;FERRARA;2;4158;4;solo somministrazione;somministrazione;al banco;19
"Giochi Legge 388/2000;Cibi cotti preconfezionati;Bar gastronomici e simili;Tavola fredda;BAR CAFF�;Genere Merceol.Autorizz.Sanit.;BAR CAFF�";bar metro;"codvia 9216 mm2 s. ago; isolato:999; accesso: accesso interno; (z.d. 1)";VIA;DEL VECCHIO POLITECNICO;8;2101;1;solo somministrazione;somministrazione;al banco;28
"Giochi Legge 388/2000;Genere Merceol.Autorizz.Sanit.;BAR CAFF�;Sale da ballo, locali notturni";il sottomarino giallo;"VLE ABRUZZI N. 48 ; isolato:090; accesso: accesso esterno; (z.d. 3)";VLE;ABRUZZI;48;2177;3;solo somministrazione;somministrazione;al banco;147
"Giochi Legge 388/2000;Tavola fredda;BAR CAFF�";;"codvia 9207 mm2 loreto; isolato:996; accesso: accesso interno; (z.d. 3)";VIA;GALLARATE;64;7420;8;solo somministrazione;somministrazione;al banco;69
"Giochi Legge 388/2000;Tavola fredda;BAR CAFF�";green tennis;"VIA ORNATO LUIGI num.174/6 interno centro sportivo; isolato:009; accesso: area ap.rec.; (z.d. 9)";VIA;STROZZI PIERO;;6617;6;solo somministrazione;somministrazione;al banco;60
Gioco video;;VIA SATTA SEBASTIANO N. 20 (z.d. 8);VIA;SATTA SEBASTIANO;20;7352;8;;;;
"Gioco video;Cibi cotti;Carte;BAR CAFF�;Biliardo";;"VIA SAN BERNARDO num.017 c/o circolo arci pessina; isolato:200; accesso: accesso esterno; (z.d. 5)";VIA;BONFADINI ROMUALDO;;3341;4;solo somministrazione;somministrazione;al banco;90
